Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
1,Tymen,X8,2889.2,56.7820015,17.1427002,2.883799791,2.417500019,275.9755859,1,1
1,Tymen,X8,2889.3,56.89199829,18.18639946,2.877799749,2.418500185,274.5486755,1,1
1,Tymen,X8,2889.4,57.00200272,18.32329941,2.871799946,2.416500092,274.0664978,1,1
1,Tymen,X8,2889.5,56.93160248,17.08760071,2.865799904,2.407999992,273.8488159,1,1
1,Tymen,X8,2889.6,56.13959503,16.32180023,2.858200073,2.410000086,273.5319824,1,1
1,Tymen,X8,2889.7,55.34759521,16.44459915,2.843799829,2.414000034,273.0417786,1,1
1,Tymen,X8,2889.8,54.55559921,16.58749962,2.827800035,2.411999941,272.4203796,1,1
1,Tymen,X8,2889.9,53.7635994,16.51459885,2.811800003,2.408499956,271.7008972,1,1
1,Tymen,X8,2890,52.94519806,16.3628006,2.795799971,2.411000013,270.8720093,1,1
1,Tymen,X8,2890.1,52.02119827,16.40010071,2.787199974,2.411999941,269.913208,1,1
1,Tymen,X8,2890.2,51.0972023,18.582201,2.809999943,2.405499935,268.8664856,1,1
1,Tymen,X8,2890.3,50.17320251,18.88969994,2.840000153,2.406000137,267.887085,1,1
1,Tymen,X8,2890.4,49.24919891,17.86289978,2.870000124,2.40899992,267.2679749,1,1
1,Tymen,X8,2890.5,48.24599457,19.02689934,2.900000095,2.398499966,267.3864136,1,1
1,Tymen,X8,2890.6,46.92599869,20.88710022,2.924800158,2.38499999,268.6029968,1,1
1,Tymen,X8,2890.7,45.60599899,23.71860123,2.927599907,2.379499912,271.1354065,1,1
1,Tymen,X8,2890.8,44.2859993,26.0522995,2.925600052,2.375499964,274.9974976,1,1
1,Tymen,X8,2890.9,42.9659996,26.12150002,2.923599958,2.370499849,280.0382996,1,1
1,Tymen,X8,2891,42.17839813,24.57759857,2.921599865,2.363500118,286.0664673,1,1
1,Tymen,X8,2891.1,43.520401,22.59089851,2.911999941,2.35649991,292.9619141,1,1
1,Tymen,X8,2891.2,44.86240005,20.57009888,2.869999886,2.354000092,300.743927,1,1
1,Tymen,X8,2891.3,46.20440292,18.53650093,2.819999933,2.354000092,309.5940857,1,1
1,Tymen,X8,2891.4,47.54640198,17.43840027,2.769999981,2.350499868,319.8392029,1,1
1,Tymen,X8,2891.5,48.58920288,18.72859955,2.720000029,2.342999935,331.8778076,1,1
1,Tymen,X8,2891.6,48.43520355,20.84679985,2.675800085,2.333499908,345.9619141,1,1
1,Tymen,X8,2891.7,48.28120422,24.05930138,2.656199932,2.319999933,361.857605,1,1
1,Tymen,X8,2891.8,48.12719727,25.37030029,2.642199993,2.305000067,378.5057983,1,1
1,Tymen,X8,2891.9,47.97319794,24.64199829,2.628200054,2.286000013,393.9353027,1,1
1,Tymen,X8,2892,47.70920181,24.36720085,2.614200115,2.256999969,405.6627808,1,1
1,Tymen,X8,2892.1,47.00519562,24.40550041,2.600399733,2.235499859,411.5471191,1,1
1,Tymen,X8,2892.2,46.30120087,26.4253006,2.587599993,2.230499983,410.6421814,1,1
1,Tymen,X8,2892.3,45.59719849,31.042799,2.575599909,2.217999935,403.4989929,1,1
1,Tymen,X8,2892.4,44.89319611,27.40449905,2.563599825,2.189500093,391.7645874,1,1
1,Tymen,X8,2892.5,44.2684021,27.01799965,2.551599979,2.154500008,377.482605,1,1
1,Tymen,X8,2892.6,43.96039963,28.04120064,2.555000067,2.126999855,362.6444092,1,1
1,Tymen,X8,2892.7,43.65240097,28.86950111,2.623800039,2.110499859,349.1195068,1,1
1,Tymen,X8,2892.8,43.34440231,29.53849983,2.70780015,2.102499962,338.6686096,1,1
1,Tymen,X8,2892.9,43.03639984,32.62350082,2.791800022,2.104000092,332.7077942,1,1
1,Tymen,X8,2893,42.71520233,38.27529907,2.875800133,2.118999958,331.8411865,1,1
1,Tymen,X8,2893.1,42.34119797,41.31489944,2.952200174,2.161000013,335.487915,1,1
1,Tymen,X8,2893.2,41.96719742,38.82579803,2.996200323,2.231500149,341.8901062,1,1
1,Tymen,X8,2893.3,41.59320068,35.86310196,3.032200098,2.303500175,348.4771118,1,1
1,Tymen,X8,2893.4,41.21919632,36.6570015,3.068200111,2.34250021,352.4703979,1,1
1,Tymen,X8,2893.5,41.05199814,38.13610077,3.104199886,2.349999905,351.6637878,1,1
1,Tymen,X8,2893.6,41.7120018,39.60009766,3.137199879,2.349499941,345.2392883,1,1
1,Tymen,X8,2893.7,42.37200165,37.99189758,3.157600164,2.348499775,334.1864014,1,1
1,Tymen,X8,2893.8,43.0320015,31.18829918,3.175600052,2.348500013,320.894989,1,1
1,Tymen,X8,2893.9,43.69200134,25.21150017,3.193600178,2.354000092,308.0133972,1,1
1,Tymen,X8,2894,44.16279984,25.60639954,3.211599827,2.358500004,297.2648926,1,1
1,Tymen,X8,2894.1,43.87679672,28.91900063,3.226800203,2.368999958,289.014801,1,1
1,Tymen,X8,2894.2,43.59079742,30.95980072,3.230000019,2.375499964,282.697113,1,1
1,Tymen,X8,2894.3,43.30479813,32.74629974,3.230000019,2.374000072,277.5821838,1,1
1,Tymen,X8,2894.4,43.01879883,32.41460037,3.230000019,2.366999865,273.2722778,1,1
1,Tymen,X8,2894.5,42.7635994,34.01850128,3.230000019,2.358500004,269.7601929,1,1
1,Tymen,X8,2894.6,42.63159943,33.83399963,3.232000113,2.362499952,267.2398682,1,1
1,Tymen,X8,2894.7,42.49959946,32.60770035,3.242400169,2.366500139,265.9197693,1,1
1,Tymen,X8,2894.8,42.36759949,33.87730026,3.254400015,2.361999989,265.8945007,1,1
1,Tymen,X8,2894.9,42.23559952,33.11949921,3.266400099,2.357000113,267.0560913,1,1
1,Tymen,X8,2895,42.14759827,33.57959747,3.278399944,2.357500076,269.0758057,1,1
1,Tymen,X8,2895.1,42.23559952,35.84789658,3.289000034,2.366000175,271.4775085,1,1
1,Tymen,X8,2895.2,42.32360077,35.16149902,3.293800116,2.371999979,273.7756958,1,1
1,Tymen,X8,2895.3,42.41160202,32.90159988,3.297800064,2.374000072,275.6213074,1,1
1,Tymen,X8,2895.4,42.49959946,31.72060013,3.301800251,2.378499985,276.8792114,1,1
1,Tymen,X8,2895.5,42.54359818,32.53490067,3.305799961,2.374000072,277.6271973,1,1
1,Tymen,X8,2895.6,42.41159821,33.09329987,3.309600115,2.358500004,278.0660095,1,1
1,Tymen,X8,2895.7,42.27960205,32.21159744,3.312400103,2.34100008,278.3950195,1,1
1,Tymen,X8,2895.8,42.14759827,30.37190056,3.314399958,2.331500053,278.7167969,1,1
1,Tymen,X8,2895.9,42.0155983,27.09020042,3.316400051,2.330500126,279.0073242,1,1
1,Tymen,X8,2896,41.87039948,26.8504982,3.318399906,2.344500065,279.1440125,1,1
1,Tymen,X8,2896.1,41.67239761,27.9122982,3.324400187,2.364500046,278.9804993,1,1
1,Tymen,X8,2896.2,41.47439957,27.10650063,3.347599983,2.37650013,278.4173889,1,1
1,Tymen,X8,2896.3,41.27639771,27.14710045,3.375599861,2.378999949,277.4641724,1,1
1,Tymen,X8,2896.4,41.07839966,30.44079971,3.403599977,2.371500015,276.2507935,1,1
1,Tymen,X8,2896.5,41.12239838,31.68700027,3.431600094,2.367499828,274.9992981,1,1
1,Tymen,X8,2896.6,42.13440323,31.93979836,3.454200029,2.373500109,273.9641113,1,1
1,Tymen,X8,2896.7,43.14640427,30.666399,3.453799725,2.378499985,273.3788147,1,1
1,Tymen,X8,2896.8,44.15840149,29.19910049,3.447799921,2.376499891,273.4122925,1,1
1,Tymen,X8,2896.9,45.17039871,27.76319885,3.441799879,2.38499999,274.1600037,1,1
1,Tymen,X8,2897,46.42440033,26.79829979,3.435800076,2.402999878,275.6514282,1,1
1,Tymen,X8,2897.1,48.64640427,26.52250099,3.41899991,2.421000004,277.8510132,1,1
1,Tymen,X8,2897.2,50.86840057,25.61190033,3.35619998,2.43900013,280.6547241,1,1
1,Tymen,X8,2897.3,53.09039688,23.6977005,3.28219986,2.453500032,283.8804016,1,1
1,Tymen,X8,2897.4,55.31240082,21.31259918,3.208199978,2.475500107,287.2913208,1,1
1,Tymen,X8,2897.5,57.95679855,18.83979988,3.134200096,2.5,290.655304,1,1
2,Tymen,X8,2897.6,62.290802,14.72289944,3.057599783,2.512000084,293.8008118,1,1
2,Tymen,X8,2897.7,66.62480164,9.022600174,2.96999979,2.528000116,296.6554871,1,1
2,Tymen,X8,2897.8,70.95880127,6.69729948,2.879999876,2.547500134,299.2536926,1,1
2,Tymen,X8,2897.9,75.2928009,6.370800018,2.789999962,2.565000057,301.7133179,1,1
2,Tymen,X8,2898,78.95799255,6.335299969,2.699999809,2.577499866,304.1810303,1,1
2,Tymen,X8,2898.1,79.94799805,6.443699837,2.621199846,2.579500198,306.7373962,1,1
2,Tymen,X8,2898.2,80.93800354,6.513600349,2.589999914,2.579999924,309.3322144,1,1
2,Tymen,X8,2898.3,81.9280014,6.612699986,2.569999695,2.575000048,311.7807922,1,1
2,Tymen,X8,2898.4,82.91799927,6.731900215,2.549999714,2.570499897,313.84021,1,1
2,Tymen,X8,2898.5,83.84640503,6.770100117,2.529999733,2.559499979,315.3245239,1,1
3,Tymen,X8,2898.6,84.52840424,6.695600033,2.514200211,2.530999899,316.175293,1,1
3,Tymen,X8,2898.7,85.21040344,6.488999844,2.516200304,2.504999876,316.4538269,1,1
3,Tymen,X8,2898.8,85.89240265,6.365300179,2.522200108,2.494999886,316.2608948,1,1
3,Tymen,X8,2898.9,86.57440186,6.397200108,2.52820015,2.496000051,315.6763,1,1
3,Tymen,X8,2899,87.05400085,6.492000103,2.534200191,2.496000051,314.727478,1,1
3,Tymen,X8,2899.1,86.72399902,6.422800064,2.542800188,2.493999958,313.4005127,1,1
3,Tymen,X8,2899.2,86.39399719,6.256499767,2.562400103,2.500999928,311.6422119,1,1
3,Tymen,X8,2899.3,86.06399536,6.01940012,2.584399939,2.506000042,309.3568726,1,1
3,Tymen,X8,2899.4,85.73400116,6.304600239,2.606400013,2.506000042,306.3806763,1,1
3,Tymen,X8,2899.5,85.28079987,6.581999779,2.628399849,2.506999969,302.4436035,1,1
3,Tymen,X8,2899.6,84.33479309,6.689100266,2.640399933,2.50549984,297.1340942,1,1
3,Tymen,X8,2899.7,83.38879395,6.779000282,2.609999895,2.506500006,289.8776855,1,1
3,Tymen,X8,2899.8,82.44280243,6.931099892,2.569999933,2.510500193,279.9249878,1,1
